mean_ndvi,stdDev_ndvi,year
0.5177759337396939,0.132346219417739,2000
0.548218152170734,0.1231221238209955,2001
0.5550982109794178,0.1307761655366077,2002
0.5436757486686944,0.13267071170846953,2003
0.5482635713629153,0.13480264756132396,2004
0.5453800072766373,0.13531247495875895,2005
0.5582424198817038,0.1273895481920243,2006
0.5508064971709269,0.13356836907202402,2007
0.5574128715605356,0.12511175430561466,2008
0.5621967468859111,0.13027496681213668,2009
0.5590909576724229,0.13070468898533136,2010
0.557874006980264,0.1186318703671982,2011
0.545459687021211,0.13299633361899293,2012
0.5461604191324506,0.13872640742195516,2013
0.5596240889521235,0.13705889469205187,2014
0.546579484572187,0.14094448639113005,2015
0.5498208592619432,0.13095299077864642,2016
0.55636741903989,0.13067372087546064,2017
0.5609810606398392,0.13121486725255793,2018
0.5448788755231857,0.14280580224600112,2019
0.5622821821664277,0.1320171640617813,2020
0.5620737329502603,0.14359442253921664,2021
0.5590418747695065,0.13898559778638772,2022
0.6212201642741918,0.15459752846212732,2023
