ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2000-01-01,-0.24159935530804022,0.5210539778385354,0.5526259050249026,-0.24159935530804022,-0.24159935530804022,0.7786699757832615,0.7786699757832615,0.7786699757832615,0.7786699757832615,0.7786699757832615,0.7786699757832615,0.0,0.0,0.0,0.5370706204752212
2001-01-01,-0.24060361093483734,0.5268309010138597,0.5593038762891109,-0.24060361093483734,-0.24060361093483734,0.7832320706933168,0.7832320706933168,0.7832320706933168,0.7832320706933168,0.7832320706933168,0.7832320706933168,0.0,0.0,0.0,0.5426284597584794
2002-01-01,-0.23961058707558822,0.5313357667418159,0.5635527827002149,-0.23961058707558822,-0.23961058707558822,0.7875463343991471,0.7875463343991471,0.7875463343991471,0.7875463343991471,0.7875463343991471,0.7875463343991471,0.0,0.0,0.0,0.5479357473235589
2003-01-01,-0.23861756305063012,0.5312035340594192,0.5629725826830912,-0.23861756305063012,-0.23861756305063012,0.7860253453199565,0.7860253453199565,0.7860253453199565,0.7860253453199565,0.7860253453199565,0.7860253453199565,0.0,0.0,0.0,0.5474077822693264
2004-01-01,-0.23762453922852367,0.5243070331815661,0.5572384494837553,-0.23762453922852367,-0.23762453922852367,0.7786699757833572,0.7786699757833572,0.7786699757833572,0.7786699757833572,0.7786699757833572,0.7786699757833572,0.0,0.0,0.0,0.5410454365548335
2005-01-01,-0.236628795097665,0.5298769373745505,0.5628903859078296,-0.236628795097665,-0.236628795097665,0.7832320706933212,0.7832320706933212,0.7832320706933212,0.7832320706933212,0.7832320706933212,0.7832320706933212,0.0,0.0,0.0,0.5466032755956562
2006-01-01,-0.23563577192533336,0.5351457946489032,0.566772631574524,-0.23563577192533336,-0.23563577192533336,0.787546334399146,0.787546334399146,0.787546334399146,0.787546334399146,0.787546334399146,0.787546334399146,0.0,0.0,0.0,0.5519105624738126
2007-01-01,-0.2346427492401359,0.5355097094652622,0.5697090721092554,-0.2346427492401359,-0.2346427492401359,0.7860253453199729,0.7860253453199729,0.7860253453199729,0.7860253453199729,0.7860253453199729,0.7860253453199729,0.0,0.0,0.0,0.5513825960798371
2008-01-01,-0.23364975193695053,0.5289273456844037,0.5616125722217022,-0.23364975193695053,-0.23364975193695053,0.7786699757832894,0.7786699757832894,0.7786699757832894,0.7786699757832894,0.7786699757832894,0.7786699757832894,0.0,0.0,0.0,0.5450202238463389
2009-01-01,-0.23265934642228203,0.5348779716417914,0.5661734659468252,-0.23265934642228203,-0.23265934642228203,0.7832320706932682,0.7832320706932682,0.7832320706932682,0.7832320706932682,0.7832320706932682,0.7832320706932682,0.0,0.0,0.0,0.5505727242709861
2010-01-01,-0.23167164688858605,0.5400765065339174,0.57077250374987,-0.23167164688858605,-0.23167164688858605,0.7875463343991398,0.7875463343991398,0.7875463343991398,0.7875463343991398,0.7875463343991398,0.7875463343991398,0.0,0.0,0.0,0.5558746875105538
2011-01-01,-0.23068394766432282,0.539928384615255,0.5714526274480741,-0.23068394766432282,-0.23068394766432282,0.7860253453199675,0.7860253453199675,0.7860253453199675,0.7860253453199675,0.7860253453199675,0.7860253453199675,0.0,0.0,0.0,0.5553413976556447
2012-01-01,-0.22969624865464827,0.5329722301140533,0.5652434942014296,-0.22969624865464827,-0.22969624865464827,0.778669975783299,0.778669975783299,0.778669975783299,0.778669975783299,0.778669975783299,0.778669975783299,0.0,0.0,0.0,0.5489737271286508
2013-01-01,-0.2287058437719858,0.5384901854638644,0.5718871400886155,-0.2287058437719858,-0.2287058437719858,0.7832320706933342,0.7832320706933342,0.7832320706933342,0.7832320706933342,0.7832320706933342,0.7832320706933342,0.0,0.0,0.0,0.5545262269213485
2014-01-01,-0.2277108744873218,0.5435663065296304,0.5742281372436504,-0.2277108744873218,-0.2277108744873218,0.7875463343991583,0.7875463343991583,0.7875463343991583,0.7875463343991583,0.7875463343991583,0.7875463343991583,0.0,0.0,0.0,0.5598354599118365
2015-01-01,-0.22670767192506291,0.5425045059388403,0.5766106711753692,-0.22670767192506291,-0.22670767192506291,0.786025345319986,0.786025345319986,0.786025345319986,0.786025345319986,0.786025345319986,0.786025345319986,0.0,0.0,0.0,0.5593176733949231
2016-01-01,-0.22569134263910257,0.5363919303905038,0.5688464045323351,-0.22569134263910257,-0.22569134263910257,0.778669975783305,0.778669975783305,0.778669975783305,0.778669975783305,0.778669975783305,0.778669975783305,0.0,0.0,0.0,0.5529786331442024
2017-01-01,-0.22466733608287107,0.5419864113386398,0.5749961008813128,-0.22466733608287107,-0.22466733608287107,0.783232070693267,0.783232070693267,0.783232070693267,0.783232070693267,0.783232070693267,0.783232070693267,0.0,0.0,0.0,0.5585647346103959
2018-01-01,-0.22360317502381927,0.5490197716267831,0.5797519265279791,-0.22360317502381927,-0.22360317502381927,0.7875463343991435,0.7875463343991435,0.7875463343991435,0.7875463343991435,0.7875463343991435,0.7875463343991435,0.0,0.0,0.0,0.5639431593753241
2019-01-01,-0.22067973979948977,0.5481189693473908,0.5811826634550645,-0.22067973979948977,-0.22067973979948977,0.7860253453199593,0.7860253453199593,0.7860253453199593,0.7860253453199593,0.7860253453199593,0.7860253453199593,0.0,0.0,0.0,0.5653456055204695
